timestamp,rmssd,tp,lfn,hfn,r_hrv
1590608334,,,,,352.2
1590608514,,,,,162.4
1590608694,,,,,159.9
1590608874,,,,,135.4
1590609054,30.4,0.5,24.2,75.8,194.8
1590609234,163.6,0.4,67,33,105.5
1590609415,27.7,0.5,21.8,78.2,98
1590609594,,,,,95.1
1590609774,28.9,0.2,29.8,70.2,177.1
1590609954,,,,,174.8
1590610134,,,,,136
1590610314,17,0.4,30.5,69.5,528.8
1590610494,,,,,271.2
1590610674,,,,,214.2
1590610854,,,,,208.2
1590611034,,,,,214.3
1590611214,,,,,269.3
1590611394,,,,,189.9
1590611574,,,,,138.2
1590611755,26.4,0.5,17.9,82.1,534
1590611934,31.9,0.5,19.4,80.6,374.5
1590612105,24.7,0.5,25.9,74.1,505.4
1590612219,24.3,0.4,55.9,44.1,181.5
1590612341,,,,,103.8
1590612521,32.9,0.5,29.9,70.1,371.8
1590612701,30.7,0.5,29.1,70.9,319.8
1590612881,29.7,0.5,31.5,68.5,248.3
1590613061,28.1,0.5,22.2,77.8,484.6
1590613216,37.1,0.4,5.3,94.7,514.6
1590613673,27.1,0.5,30.4,69.6,207.1
1590613853,35.6,0.5,22.2,77.8,199.8
1590614033,31.2,0.5,12.3,87.7,208.4
1590614213,34.9,0.5,10.8,89.2,175.1
1590614393,33.7,0.5,38.2,61.8,201
1590614573,37.7,0.5,32.7,67.3,193.6
1590614754,36.3,0.5,44.8,55.2,494.2
1590614934,33.9,0.5,19.8,80.2,131.1
1590615114,,,,,41.7
1590615294,35.7,0.5,33.1,66.9,133.4
1590615474,36.3,0.5,23.8,76.2,132.9
1590615654,,,,,34.9
1590615833,,,,,27.6
1590616013,,,,,290.4
1590616141,,,,,382.5
1590616414,37.3,0.5,42,58,794.5
1590616594,38.1,0.5,52.2,47.8,213.9
1590616774,40.1,0.5,43.8,56.2,97.9
1590616954,,,,,25.5
1590617133,40.5,0.5,33.7,66.3,749.1
1590617313,38.7,0.5,33.6,66.4,197.9
1590617494,40.5,0.5,26.9,73.1,203
1590617674,32.9,0.5,29.6,70.4,201
1590617854,38.4,0.5,39.6,60.4,638.4
1590618034,37.8,0.5,18.8,81.2,78.8
1590618214,31.8,0.5,31.9,68.1,201.4
1590618394,37.2,0.5,41.4,58.6,74.6
1590618574,31.2,0.5,38,62,76.9
1590618754,,,,,29.1
1590618934,,,,,30.1
1590619114,25.7,0.5,24.4,75.6,77.3
1590619294,,,,,30.1
1590619473,,,,,28.4
1590619653,35.1,0.6,78,22,520.8
1590619834,40.8,0.5,36.3,63.7,121.4
1590620014,40.2,0.5,41.4,58.6,289.1
1590620194,,,,,14.5
1590620374,13,0.6,64.7,35.3,136.2
1590620554,,,,,15.3
1590620734,17.8,0.5,42.7,57.3,141.2
1590620914,20.7,0.6,42.7,57.3,142.2
1590621094,12.9,0.7,75.8,24.2,138.9
1590621274,23.6,0.6,36.8,63.2,415.7
1590621454,39.6,0.5,40,60,303.8
1590621634,43.5,0.5,33.7,66.3,458.3
1590621813,29.1,0.5,17.9,82.1,126.5
1590621993,37.1,0.5,37,63,536.6
1590622174,27.9,0.5,60.4,39.6,373.6
1590622354,25,0.4,34.8,65.2,38.8
1590622534,34.6,0.5,26.3,73.7,542.5
1590622714,28.2,0.5,27.5,72.5,624.2
1590622894,38.9,0.6,74,26,686.7
1590623074,38,0.5,19.3,80.7,72.1
1590623254,,,,,40.2
1590623434,,,,,38.3
1590623636,,,,,40.2
1590623816,30.4,0.4,28.1,71.9,796.7
1590623996,45.6,0.5,45.8,54.2,753.1
1590624175,34.7,0.5,39.7,60.3,252.2
1590624355,37.6,0.5,44,56,169.8
1590624536,39.2,0.5,36.3,63.7,733.9
1590624716,37.6,0.5,26.4,73.6,196.9
1590624896,39.8,0.5,12.1,87.9,223.5
1590625076,43,0.5,33.4,66.6,678.4
1590625256,47.7,0.5,36.1,63.9,828.4
1590625436,48.7,0.5,20.9,79.1,920.7
1590625616,40.7,0.5,39.1,60.9,398.9
1590625796,,,,,41.5
1590625976,38.5,0.5,56.9,43.1,565.7
1590626156,,,,,217
1590626336,51.3,0.5,36,64,837.7
1590626515,40.2,0.5,18.5,81.5,190.8
1590626695,39.5,0.5,31.5,68.5,197.6
1590626876,48.1,0.5,25.4,74.6,194.2
1590627056,35.2,0.5,16.2,83.8,188.2
1590627236,40.6,0.5,51.4,48.6,182
1590627416,31.3,0.5,19.2,80.8,186.7
1590627596,35.2,0.5,30.5,69.5,184.6
1590627776,34.6,0.4,29,71,185.7
1590627956,31.9,0.5,27.1,72.9,180.4
1590628136,38,0.5,38.3,61.7,199.6
1590628316,47.5,0.5,22,78,559.5
1590628496,37.3,0.5,40.7,59.3,134
1590628676,11.9,0.5,53.5,46.5,144.9
1590628855,15.8,0.6,56,44,147.7
1590629035,38.8,0.5,45.3,54.7,411.7
1590629216,29.9,0.6,69.6,30.4,200.2
1590629396,30.8,0.5,50.9,49.1,152.4
1590629576,37,0.5,27.3,72.7,144.1
1590629756,23.3,0.6,70.3,29.7,388.7
1590629936,40.6,0.6,59.4,40.6,662.6
1590630116,24.4,0.5,48.3,51.7,240.3
1590630296,29.7,0.5,37.1,62.9,100.6
1590630476,30,0.5,45.3,54.7,102.9
1590630656,31.7,0.5,21.2,78.8,216.5
1590630836,32.1,0.5,37,63,105.6
