at,timestamp,sleep_class
2020-06-06 21:59,1591477148,4
2020-06-06 22:21,1591478498,2
2020-06-06 22:43,1591479788,1
2020-06-06 22:54,1591480478,2
2020-06-06 23:13,1591481618,1
2020-06-06 23:24,1591482248,2
2020-06-06 23:33,1591482818,3
2020-06-06 23:50,1591483838,2
2020-06-07 00:08,1591484888,1
2020-06-07 00:30,1591486238,2
2020-06-07 00:51,1591487498,3
2020-06-07 01:18,1591489118,2
2020-06-07 01:46,1591490768,1
2020-06-07 01:56,1591491368,2
2020-06-07 02:23,1591493018,1
2020-06-07 02:36,1591493768,2
2020-06-07 02:44,1591494248,3
2020-06-07 02:59,1591495148,2
2020-06-07 03:21,1591496498,1
2020-06-07 03:41,1591497698,2
2020-06-07 03:53,1591498418,3
2020-06-07 04:12,1591499558,2
2020-06-07 04:36,1591500998,1
2020-06-07 04:58,1591502288,2
2020-06-07 05:11,1591503098,3
2020-06-07 05:32,1591504328,2
2020-06-07 06:02,1591506128,1
2020-06-07 06:13,1591506818,2
2020-06-07 06:26,1591507598,3
2020-06-07 06:37,1591508258,4
2020-06-07 06:47,1591508858,3
2020-06-07 06:56,1591509368,2
2020-06-07 07:25,1591511108,1
2020-06-07 07:36,1591511798,2
2020-06-07 07:50,1591512608,4
