timestamp,rmssd,tp,lfn,hfn,r_hrv
1591562533,,,,,321.7
1591562713,,,,,277.8
1591562893,,,,,385.5
1591563073,,,,,328.6
1591563253,,,,,153.9
1591563433,46.4,0.3,30.3,69.7,236.2
1591563614,43.8,0.3,27.5,72.5,101.9
1591563794,,,,,124.5
1591563974,,,,,218.5
1591564154,,,,,340.3
1591564334,32.1,0.4,26.2,73.8,412.4
1591564450,,,,,487.5
1591564763,,,,,184.6
1591564943,,,,,207
1591565123,,,,,149.4
1591565303,,,,,240.9
1591565483,31.1,0.5,37.4,62.6,350.5
1591565663,35.3,0.4,28.5,71.5,162.5
1591565844,,,,,161.7
1591566024,31,0.5,17.2,82.8,142.4
1591566204,35.2,0.5,15.7,84.3,149.3
1591566384,47.3,0.5,43.3,56.7,563.7
1591566508,,,,,310.4
1591566987,,,,,252.3
1591567167,,,,,365.8
1591567347,,,,,142.7
1591567527,,,,,205.5
1591567706,,,,,323.1
1591567886,48.9,0.5,22.9,77.1,582.6
1591568067,,,,,73.2
1591568247,,,,,61.5
1591568427,24.9,0.6,16.9,83.1,501
1591568607,39.6,0.5,36.5,63.5,499.5
1591568787,,,,,45
1591568967,25.9,0.5,12.6,87.4,727.7
1591569147,,,,,105.3
1591569327,28.7,0.5,18.8,81.2,527.8
1591569507,37.1,0.5,26.8,73.2,595.5
1591569687,32,0.4,30.4,69.6,394.9
1591569867,,,,,321.7
1591570046,32.2,0.6,37.6,62.4,726.3
1591570226,33.8,0.5,20.8,79.2,279
1591570407,31.1,0.5,30.5,69.5,190
1591570587,30.1,0.5,25.5,74.5,191
1591570767,,,,,40
1591570947,24.8,0.6,52.5,47.5,197.1
1591571127,22.2,0.5,17.7,82.3,200.1
1591571307,27.3,0.6,29.7,70.3,700.1
1591571487,32,0.5,30,70,413.6
1591571591,,,,,34.5
1591571694,,,,,27.4
1591571874,,,,,55.8
1591572079,,,,,41.4
1591572259,,,,,29.3
1591572438,137.3,0.5,88,12,243.6
1591572618,,,,,63.2
1591572799,,,,,29.2
1591572979,,,,,30.8
1591573159,,,,,25.7
1591573339,21.6,0.5,46,54,100.2
1591573519,,,,,36.2
1591573699,22.4,0.6,58.4,41.6,542.4
1591573879,36.3,0.5,41,59,142.2
1591574059,38.6,0.5,17.3,82.7,258.1
1591574239,,,,,23.7
1591574419,14.3,0.6,71.6,28.4,237
1591574599,,,,,41.3
1591574778,,,,,46
1591574958,,,,,31
1591575139,27,0.5,26.4,73.6,144
1591575319,28.7,0.5,23,77,146.3
