at,timestamp,hr,rr,act
2020-06-23 22:22,1592943741,,,91
2020-06-23 22:22,1592943745,,,56
2020-06-23 22:22,1592943749,119,,62
2020-06-23 22:22,1592943753,122,,74
2020-06-23 22:22,1592943757,107,,92
2020-06-23 22:22,1592943761,69,,92
2020-06-23 22:22,1592943765,61,,52
2020-06-23 22:22,1592943769,63,,59
2020-06-23 22:22,1592943773,65,,82
2020-06-23 22:22,1592943777,65,,71
2020-06-23 22:23,1592943781,65,,73
2020-06-23 22:23,1592943785,65,,47
2020-06-23 22:23,1592943789,65,,61
2020-06-23 22:23,1592943793,65,18.5,83
2020-06-23 22:23,1592943797,65,18.2,88
2020-06-23 22:23,1592943801,64,17.9,54
2020-06-23 22:23,1592943805,64,17.7,64
2020-06-23 22:23,1592943809,66,17.9,77
2020-06-23 22:23,1592943813,64,18.3,82
2020-06-23 22:23,1592943817,63,18.7,63
2020-06-23 22:23,1592943821,64,18.6,64
2020-06-23 22:23,1592943825,65,18.4,67
2020-06-23 22:23,1592943829,65,18.2,69
2020-06-23 22:23,1592943833,66,18,64
2020-06-23 22:23,1592943837,67,17.8,78
2020-06-23 22:24,1592943841,67,17.6,66
2020-06-23 22:24,1592943845,65,17.6,53
2020-06-23 22:24,1592943849,64,17.5,70
2020-06-23 22:24,1592943853,64,17.5,87
2020-06-23 22:24,1592943857,64,17.6,86
2020-06-23 22:24,1592943861,64,17.7,78
2020-06-23 22:24,1592943865,67,17.7,62
2020-06-23 22:24,1592943869,67,17.6,51
2020-06-23 22:24,1592943873,67,17.6,52
2020-06-23 22:24,1592943877,67,17.5,96
2020-06-23 22:24,1592943881,67,17.5,81
2020-06-23 22:24,1592943885,67,17.5,71
2020-06-23 22:24,1592943889,67,17.6,55
2020-06-23 22:24,1592943893,66,17.6,69
2020-06-23 22:24,1592943897,67,17.7,82
2020-06-23 22:25,1592943901,68,17.9,67
2020-06-23 22:25,1592943905,68,18.1,51
2020-06-23 22:25,1592943909,68,18.3,57
2020-06-23 22:25,1592943913,67,18.4,68
2020-06-23 22:25,1592943917,67,18.6,68
2020-06-23 22:25,1592943921,67,18.6,65
2020-06-23 22:25,1592943925,68,18.6,54
2020-06-23 22:25,1592943929,67,18.5,66
2020-06-23 22:25,1592943933,67,18.3,67
2020-06-23 22:25,1592943937,68,18.2,77
2020-06-23 22:25,1592943941,68,18.1,67
2020-06-23 22:25,1592943945,68,18.1,62
2020-06-23 22:25,1592943949,67,18,77
2020-06-23 22:25,1592943953,66,17.9,76
2020-06-23 22:25,1592943957,66,17.8,84
2020-06-23 22:26,1592943961,65,17.9,78
2020-06-23 22:26,1592943965,65,17.9,76
2020-06-23 22:26,1592943969,64,18,78
2020-06-23 22:26,1592943973,64,18,1334
2020-06-23 22:26,1592943977,64,18.1,1550
2020-06-23 22:26,1592943981,64,18.2,57
2020-06-23 22:26,1592943985,64,18.2,59
2020-06-23 22:26,1592943989,64,18.2,78
2020-06-23 22:26,1592943993,64,18.2,75
2020-06-23 22:26,1592943997,66,18.1,75
2020-06-23 22:26,1592944001,68,18,85
2020-06-23 22:26,1592944005,63,17.9,67
2020-06-23 22:26,1592944009,54,17.7,46
2020-06-23 22:26,1592944013,61,17.6,48
2020-06-23 22:26,1592944017,71,17.4,92
2020-06-23 22:27,1592944021,70,17.3,79
2020-06-23 22:27,1592944025,68,17.3,90
2020-06-23 22:27,1592944029,67,17.2,64
2020-06-23 22:27,1592944033,67,17.3,42
2020-06-23 22:27,1592944037,67,17.4,41
2020-06-23 22:27,1592944041,67,17.4,65
2020-06-23 22:27,1592944045,66,17.4,83
2020-06-23 22:27,1592944049,66,17.5,80
2020-06-23 22:27,1592944053,66,17.5,69
2020-06-23 22:27,1592944057,63,17.4,53
2020-06-23 22:27,1592944061,59,17.4,35
2020-06-23 22:27,1592944065,59,17.4,51
2020-06-23 22:27,1592944069,60,17.4,54
2020-06-23 22:27,1592944073,62,17.4,66
2020-06-23 22:27,1592944077,62,17.5,82
2020-06-23 22:28,1592944081,60,17.4,67
2020-06-23 22:28,1592944085,61,17.1,68
2020-06-23 22:28,1592944089,61,17,75
2020-06-23 22:28,1592944093,62,17.1,66
2020-06-23 22:28,1592944097,61,17.2,46
2020-06-23 22:28,1592944101,61,17.1,56
2020-06-23 22:28,1592944105,60,16.9,87
2020-06-23 22:28,1592944109,61,16.8,83
2020-06-23 22:28,1592944113,63,16.6,54
2020-06-23 22:28,1592944117,64,16.5,39
2020-06-23 22:28,1592944121,64,16.6,61
2020-06-23 22:28,1592944125,65,16.9,65
2020-06-23 22:28,1592944129,66,17.4,55
2020-06-23 22:28,1592944133,66,17.9,59
2020-06-23 22:28,1592944137,65,18,89
2020-06-23 22:29,1592944141,65,17.8,75
2020-06-23 22:29,1592944145,65,17.4,82
2020-06-23 22:29,1592944149,65,16.9,40
2020-06-23 22:29,1592944153,65,16.6,88
2020-06-23 22:29,1592944157,65,16.7,80
2020-06-23 22:29,1592944161,65,17.1,66
2020-06-23 22:29,1592944165,64,17.5,41
2020-06-23 22:29,1592944169,64,17.5,48
2020-06-23 22:29,1592944173,64,17.4,45
2020-06-23 22:29,1592944177,65,17.4,42
2020-06-23 22:29,1592944181,65,17.4,67
2020-06-23 22:29,1592944185,66,17.4,83
2020-06-23 22:29,1592944189,67,17.2,64
2020-06-23 22:29,1592944193,67,17,89
2020-06-23 22:29,1592944197,67,16.9,60
2020-06-23 22:30,1592944201,66,16.9,36
2020-06-23 22:30,1592944205,67,16.7,35
2020-06-23 22:30,1592944209,66,16.8,80
2020-06-23 22:30,1592944213,65,16.9,65
2020-06-23 22:30,1592944217,65,16.9,67
2020-06-23 22:30,1592944221,65,16.9,59
2020-06-23 22:30,1592944225,67,16.9,76
2020-06-23 22:30,1592944229,66,16.8,209
2020-06-23 22:30,1592944233,67,16.7,2847
2020-06-23 22:30,1592944237,67,16.8,3126
2020-06-23 22:30,1592944241,67,16.8,2683
2020-06-23 22:30,1592944245,68,16.8,377
2020-06-23 22:30,1592944249,68,16.8,23037
2020-06-23 22:30,1592944253,68,16.8,9977
2020-06-23 22:30,1592944257,68,16.8,791
2020-06-23 22:31,1592944261,68,16.8,11923
2020-06-23 22:31,1592944265,68,16.8,1785
2020-06-23 22:31,1592944269,68,16.8,4678
2020-06-23 22:31,1592944273,68,16.8,379
2020-06-23 22:31,1592944277,68,16.8,304
2020-06-23 22:31,1592944281,68,16.8,285
2020-06-23 22:31,1592944285,68,16.8,322
2020-06-23 22:31,1592944289,68,16.8,382
2020-06-23 22:31,1592944293,68,16.8,345
2020-06-23 22:31,1592944297,68,16.8,394
2020-06-23 22:31,1592944301,68,16.8,271
2020-06-23 22:31,1592944305,68,16.8,159
2020-06-23 22:31,1592944309,68,16.8,224
2020-06-23 22:31,1592944313,68,16.8,240
2020-06-23 22:31,1592944317,69,16.8,239
2020-06-23 22:32,1592944321,69,16.8,298
2020-06-23 22:32,1592944325,68,16.8,244
2020-06-23 22:32,1592944329,66,16.8,194
2020-06-23 22:32,1592944333,65,16.8,171
2020-06-23 22:32,1592944337,65,16.8,202
2020-06-23 22:32,1592944341,65,16.8,204
2020-06-23 22:32,1592944345,65,16.8,236
2020-06-23 22:32,1592944349,65,16.8,237
2020-06-23 22:32,1592944353,65,16.8,248
2020-06-23 22:32,1592944357,65,16.8,297
2020-06-23 22:32,1592944361,65,16.8,226
2020-06-23 22:32,1592944365,65,16.7,183
2020-06-23 22:32,1592944369,65,16.6,206
2020-06-23 22:32,1592944373,65,16.6,185
2020-06-23 22:32,1592944377,65,16.6,135
2020-06-23 22:33,1592944381,65,16.6,126
2020-06-23 22:33,1592944385,65,16.6,151
2020-06-23 22:33,1592944389,65,16.6,143
2020-06-23 22:33,1592944393,64,16.6,228
2020-06-23 22:33,1592944397,64,16.3,258
2020-06-23 22:33,1592944401,64,16.2,207
2020-06-23 22:33,1592944405,64,16.3,175
2020-06-23 22:33,1592944409,64,16.4,163
2020-06-23 22:33,1592944413,64,16.6,173
2020-06-23 22:33,1592944417,65,16.7,163
